#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
shape_func_reshape_reshape_concatenate	59        	29.041/0.49222/0.265/1.601
fused_full_1                  	59        	27.978/0.474203/0.145/1.606
fused_min_7                   	118       	27.268/0.231085/0.126/0.656
shape_func_reshape_reshape_concatenate_1	59        	25.312/0.429017/0.268/1.205
fused_topk_4                  	1         	25.106/25.106/25.106/25.106
shape_func_take               	59        	24.965/0.423136/0.22/1.344
fused_nn_contrib_conv2d_NCHWc_add_12	1         	24.256/24.256/24.256/24.256
fused_take_expand_dims_cast   	59        	23.974/0.406339/0.183/1.185
fused_take_less               	60        	23.612/0.393533/0.2/0.574
fused_dyn_strided_slice_2     	8         	22.849/2.85613/2.511/3.455
fused_nn_pad                  	1         	22.091/22.091/22.091/22.091
fused_max_6                   	2         	19.865/9.9325/2.678/17.187
fused_vision_get_valid_counts 	2         	19.198/9.599/3.709/15.489
fused_take_11                 	59        	19.026/0.322475/0.149/0.697
fused_nn_contrib_conv2d_NCHWc_add_17	1         	18.879/18.879/18.879/18.879
fused_add_17                  	59        	18.777/0.318254/0.152/0.668
fused_cast_adv_index          	8         	18.012/2.2515/0.255/3.771
fused_take_12                 	59        	17.863/0.302763/0.155/0.722
fused_prod_3                  	51        	17.694/0.346941/0.133/1.372
fused_split_squeeze           	8         	17.609/2.20113/0.164/2.717
fused_greater                 	1         	17.405/17.405/17.405/17.405
fused_take_8                  	59        	16.09/0.272712/0.146/0.673
shape_func_dyn_strided_slice_4	28        	15.35/0.548214/0.337/1.021
fused_layout_transform_43     	1         	14.848/14.848/14.848/14.848
fused_take_10                 	59        	14.507/0.245881/0.136/0.521
fused_nn_max_pool2d_1         	1         	12.665/12.665/12.665/12.665
fused_equal_1                 	2         	12.094/6.047/5.498/6.596
fused_split_squeeze_cast      	3         	11.443/3.81433/2.815/5.353
shape_func_take_take_subtract_take_take_subtract_multiply_concatenate_sqrt_divid_8209301934478849404_	2         	10.989/5.4945/0.684/10.305
