==3960== Profiling application: python maskrcnn_test.py
==3960== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
30.0071s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0071s  375.88us            (250 1 1)        (80 1 1)       128  4.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_6_kernel0 [409]
30.0076s  46.656us                    -               -         -         -         -  576.00KB  11.774GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0076s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0076s  781.06us            (250 1 1)        (64 1 1)       128  9.7500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_7_kernel0 [422]
30.0084s  21.152us                    -               -         -         -         -  256.00KB  11.542GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0085s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0085s  633.48us            (400 1 1)       (160 1 1)       168  13.500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_1_kernel0 [435]
30.0091s  21.248us                    -               -         -         -         -  256.00KB  11.490GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0092s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0092s  374.95us            (250 1 1)        (80 1 1)       128  4.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_6_kernel0 [448]
30.0096s  46.720us                    -               -         -         -         -  576.00KB  11.758GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0097s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0097s  777.48us            (250 1 1)        (64 1 1)       128  9.7500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_7_kernel0 [461]
30.0105s  21.216us                    -               -         -         -         -  256.00KB  11.507GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
