==7087== NVPROF is profiling process 7087, command: python maskrcnn_test.py
==7087== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torch/tensor.py:593: RuntimeWarning: Iterating over a tensor might cause the trace to be incorrect. Passing a tensor of different shape won't change the number of iterations executed (and might lead to errors or silently give incorrect results).
  'incorrect results).', category=RuntimeWarning)
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torch/nn/functional.py:3123: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  dtype=torch.float32)).float())) for i in range(dim)]
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/models/detection/anchor_utils.py:147: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(image_size[1] // g[1], dtype=torch.int64, device=device)] for g in grid_sizes]
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/ops/boxes.py:128: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  boxes_x = torch.min(boxes_x, torch.tensor(width, dtype=boxes.dtype, device=boxes.device))
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/ops/boxes.py:130: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  boxes_y = torch.min(boxes_y, torch.tensor(height, dtype=boxes.dtype, device=boxes.device))
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/models/detection/transform.py:271: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  for s, s_orig in zip(new_size, original_size)
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/models/detection/roi_heads.py:372: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  return torch.tensor(M + 2 * padding).to(torch.float32) / torch.tensor(M).to(torch.float32)
File test_street_small.jpg exists, skip.
==7087== Profiling application: python maskrcnn_test.py
==7087== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.32824s  46.463us                    -               -         -         -         -  576.00KB  11.823GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32833s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32835s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32837s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32839s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32844s  21.152us                    -               -         -         -         -  256.00KB  11.542GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32852s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32854s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32856s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32858s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32877s  41.471us                    -               -         -         -         -  512.00KB  11.774GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32887s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32889s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32891s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32893s     992ns                    -               -         -         -         -  2.0000KB  1.9227GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32899s  21.215us                    -               -         -         -         -  256.00KB  11.508GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32905s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32907s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32910s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32912s     607ns                    -               -         -         -         -      512B  804.42MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32919s  46.590us                    -               -         -         -         -  576.00KB  11.790GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32928s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32930s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32932s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32935s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32940s  21.375us                    -               -         -         -         -  256.00KB  11.422GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32946s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32948s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32950s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32952s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32958s  21.471us                    -               -         -         -         -  256.00KB  11.371GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32964s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32967s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32969s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32971s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32988s  46.463us                    -               -         -         -         -  576.00KB  11.823GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32998s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33000s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33002s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33004s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33009s  21.472us                    -               -         -         -         -  256.00KB  11.370GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33016s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33018s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33020s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33022s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33028s  21.184us                    -               -         -         -         -  256.00KB  11.525GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33034s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33036s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33039s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33041s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33048s  46.431us                    -               -         -         -         -  576.00KB  11.831GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33057s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33059s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33062s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33064s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33069s  21.152us                    -               -         -         -         -  256.00KB  11.542GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33075s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33077s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33079s     928ns                    -               -         -         -         -  2.0000KB  2.0553GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33082s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33099s  41.663us                    -               -         -         -         -  512.00KB  11.720GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33108s     671ns                    -               -         -         -         -  1.0000KB  1.4213GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33110s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33112s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.33114s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
