==6532== Profiling application: python maskrcnn_test.py
==6532== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
31.1699s  868.28us            (400 1 1)       (200 1 1)        64  7.2500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_8_kernel0 [488]
31.1709s  219.49us                    -               -         -         -         -  2.2500MB  10.011GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1711s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1711s  946.43us            (200 1 1)       (160 1 1)        64  2.6953KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_9_kernel0 [502]
31.1722s  192.22us                    -               -         -         -         -  2.0000MB  10.161GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1724s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1724s  1.1161ms            (800 1 1)        (25 1 1)       166  1.2734KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_2_kernel0 [516]
31.1736s  82.207us                    -               -         -         -         -  1.0000MB  11.879GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1737s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1737s  431.42us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [530]
31.1742s  82.239us                    -               -         -         -         -  1.0000MB  11.875GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1743s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1743s  399.90us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [544]
31.1748s  212.16us                    -               -         -         -         -  2.2500MB  10.357GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1750s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
