#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
shape_func_equal_1            	2         	4.723/2.3615/2.357/2.366
fused_cast_41                 	6         	4.606/0.767667/0.171/1.434
shape_func_dyn_strided_slice_2	8         	4.537/0.567125/0.336/0.987
fused_cast_42                 	2         	4.512/2.256/2.242/2.27
fused_full_full_full_full_full_concatenate_reshape_cast_broadcast_to_like_adv_in_8196792179794000237_	1         	4.424/4.424/4.424/4.424
shape_func_reshape_repeat_repeat_repeat	4         	4.323/1.08075/0.595/1.648
fused_multiply_47             	15        	4.254/0.2836/0.126/1.29
fused_concatenate_7           	1         	4.227/4.227/4.227/4.227
fused_reshape_adv_index_adv_index	1         	4.054/4.054/4.054/4.054
fused_multiply_48             	10        	4.026/0.4026/0.254/0.623
fused_shape_of_4              	5         	3.973/0.7946/0.293/1.407
fused_cast_like_add_where_2   	6         	3.922/0.653667/0.371/0.993
shape_func_scatter            	4         	3.755/0.93875/0.609/1.267
fused_arange_7                	1         	3.66/3.66/3.66/3.66
fused_argwhere                	1         	3.352/3.352/3.352/3.352
fused_take_expand_dims_cast_concatenate	2         	3.34/1.67/1.535/1.805
fused_adv_index_3             	1         	3.332/3.332/3.332/3.332
fused_strided_slice_6         	1         	3.284/3.284/3.284/3.284
fused_adv_index_1             	2         	3.264/1.632/1.177/2.087
shape_func_scatter_1          	4         	3.217/0.80425/0.359/1.781
fused_concatenate_8           	1         	3.107/3.107/3.107/3.107
fused_take_take_add_multiply_take_take_subtract_multiply_take_add_cast_cast_cast_16305282092913549647_	1         	3.039/3.039/3.039/3.039
fused_cast_43                 	5         	2.887/0.5774/0.212/1.394
fused_shape_of_2              	6         	2.86/0.476667/0.168/1.232
fused_adv_index_2             	1         	2.78/2.78/2.78/2.78
fused_strided_slice_take_take_subtract_greater_equal_cast_take_take_subtract_gre_10448244218429255428_	1         	2.778/2.778/2.778/2.778
shape_func_nn_contrib_conv2d_NCHWc_add	1         	2.685/2.685/2.685/2.685
shape_func_reshape_1          	1         	2.667/2.667/2.667/2.667
shape_func_dyn_strided_slice_6	5         	2.621/0.5242/0.361/0.718
fused_split_squeeze_multiply_squeeze_multiply_squeeze_multiply_squeeze_multiply__1511904406113696076_	1         	2.604/2.604/2.604/2.604
shape_func_reshape            	1         	2.531/2.531/2.531/2.531
shape_func_layout_transform_3 	1         	2.531/2.531/2.531/2.531
fused_cast_add_multiply       	1         	2.496/2.496/2.496/2.496
fused_expand_dims_expand_dims_add_concatenate_expand_dims	1         	2.384/2.384/2.384/2.384
shape_func_equal_2            	2         	2.349/1.1745/0.947/1.402
shape_func_reshape_3          	1         	2.332/2.332/2.332/2.332
fused_take_take_subtract_greater_equal_cast_take_take_subtract_greater_equal_cas_250104735588561676_	1         	2.281/2.281/2.281/2.281
shape_func_reshape_repeat_repeat_repeat_1	4         	2.268/0.567/0.525/0.594
fused_concatenate_9           	1         	2.198/2.198/2.198/2.198
fused_take_multiply_add_1     	1         	2.163/2.163/2.163/2.163
shape_func_dyn_full_1         	2         	2.104/1.052/0.763/1.341
shape_func_argwhere           	1         	2.083/2.083/2.083/2.083
shape_func_split_squeeze_cast 	3         	2.039/0.679667/0.407/1.19
shape_func_equal_3            	2         	2.008/1.004/0.786/1.222
fused_strided_slice_adv_index 	1         	1.906/1.906/1.906/1.906
fused_take_take_subtract_1    	1         	1.903/1.903/1.903/1.903
fused_shape_of_7              	4         	1.838/0.4595/0.237/0.886
fused_scatter_2               	2         	1.801/0.9005/0.852/0.949
