#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_expand_dims_cast_concatenate	58        	75.46/1.30103/1.08/1.601
fused_expand_dims_cast_concatenate_1	58        	75.094/1.29472/1.05/1.836
fused_subtract_expand_dims_cast_concatenate_1	58        	73.683/1.2704/1.059/1.957
fused_dyn_strided_slice_4     	28        	71.626/2.55807/1.22/5.933
fused_max_5                   	232       	68.889/0.296935/0.127/1.593
fused_take_expand_dims_repeat_repeat	58        	68.148/1.17497/0.885/1.61
fused_layout_transform_47     	1         	67.112/67.112/67.112/67.112
fused_subtract_expand_dims    	116       	65.61/0.565603/0.186/1.458
fused_nn_contrib_conv2d_NCHWc_add_16	1         	64.84/64.84/64.84/64.84
fused_scatter                 	116       	59.859/0.516026/0.255/1.515
fused_layout_transform_42     	1         	57.184/57.184/57.184/57.184
shape_func_argwhere_1         	10        	55.019/5.5019/0.499/42.414
fused_dyn_strided_slice_8     	1         	53.342/53.342/53.342/53.342
fused_take_7                  	58        	53.227/0.917707/0.236/2.057
fused_take_expand_dims_cast_1 	58        	53.179/0.916879/0.167/1.514
fused_shape_of                	60        	52.854/0.8809/0.232/2.091
fused_dyn_strided_slice_7     	1         	49.539/49.539/49.539/49.539
shape_func_dyn_strided_slice  	116       	48.309/0.416457/0.274/0.876
fused_cast_broadcast_to_like  	1         	48.219/48.219/48.219/48.219
fused_argwhere_1              	10        	46.927/4.6927/0.191/35.707
fused_scatter_1               	116       	45.03/0.38819/0.246/1.25
shape_func_expand_dims_concatenate	58        	43.924/0.75731/0.237/1.648
fused_prod_1                  	149       	40.588/0.272403/0.127/1.442
fused_prod                    	184       	39.574/0.215076/0.131/1.288
shape_func_take_1             	58        	38.268/0.659793/0.201/1.599
fused_full                    	58        	37.418/0.645138/0.144/1.815
shape_func_dyn_image_resize   	58        	35.874/0.618517/0.218/1.659
fused_layout_transform_37     	1         	35.211/35.211/35.211/35.211
shape_func_take_2             	58        	34.149/0.588776/0.187/1.705
fused_dyn_strided_slice_5     	1         	31.791/31.791/31.791/31.791
shape_func_take_expand_dims_repeat_repeat	58        	30.151/0.519845/0.217/1.386
shape_func_reshape_reshape_concatenate	58        	28.192/0.486069/0.276/1.211
shape_func_reshape_reshape_concatenate_1	58        	27.554/0.475069/0.27/0.911
fused_dyn_strided_slice_9     	1         	27.443/27.443/27.443/27.443
shape_func_take               	58        	26.673/0.459879/0.239/1.734
fused_take_less               	59        	26.564/0.450237/0.218/1.356
fused_topk_4                  	1         	26.232/26.232/26.232/26.232
fused_nn_contrib_conv2d_NCHWc_add_12	1         	26.137/26.137/26.137/26.137
fused_min_7                   	116       	25.205/0.217284/0.123/1.159
fused_full_1                  	58        	23.476/0.404759/0.132/1.57
fused_dyn_strided_slice_2     	8         	21.115/2.63937/2.108/3.794
fused_take_expand_dims_cast   	58        	20.655/0.356121/0.168/1.058
fused_take_12                 	58        	19.846/0.342172/0.176/0.735
fused_max_6                   	2         	19.48/9.74/2.28/17.2
fused_nn_contrib_conv2d_NCHWc_add_17	1         	18.681/18.681/18.681/18.681
fused_add_17                  	58        	18.555/0.319914/0.133/0.675
fused_take_10                 	58        	18.461/0.318293/0.143/0.722
fused_split_squeeze           	8         	17.789/2.22362/0.136/3.452
fused_layout_transform_43     	1         	16.959/16.959/16.959/16.959
fused_cast_adv_index          	8         	16.379/2.04738/0.177/4.203
fused_greater                 	1         	16.253/16.253/16.253/16.253
fused_take_11                 	58        	15.944/0.274897/0.152/0.603
fused_take_8                  	58        	14.952/0.257793/0.134/0.412
fused_prod_3                  	52        	14.488/0.278615/0.123/1.712
fused_equal_1                 	2         	14.15/7.075/6.902/7.248
shape_func_dyn_strided_slice_4	28        	12.395/0.442679/0.32/0.939
fused_equal_3                 	2         	11.977/5.9885/4.248/7.729
fused_nn_max_pool2d_1         	1         	11.608/11.608/11.608/11.608
fused_equal_2                 	2         	11.031/5.5155/5.168/5.863
fused_nn_pad                  	1         	10.723/10.723/10.723/10.723
fused_layout_transform_38     	1         	10.642/10.642/10.642/10.642
fused_split_squeeze_cast      	3         	10.339/3.44633/2.527/5.173
fused_subtract_add_expand_dims_expand_dims_add_concatenate_expand_dims	2         	10/5/2.342/7.658
fused_nn_contrib_conv2d_NCHWc_add_13	1         	9.368/9.368/9.368/9.368
fused_nn_contrib_conv2d_NCHWc_add_18	1         	8.868/8.868/8.868/8.868
fused_equal                   	2         	8.7/4.35/3.193/5.507
shape_func_split_squeeze      	8         	8.11/1.01375/0.353/1.6
fused_add_add_add_add_add_concatenate	1         	7.838/7.838/7.838/7.838
fused_squeeze_7               	2         	6.563/3.2815/2.776/3.787
fused_adv_index_adv_index     	1         	6.246/6.246/6.246/6.246
shape_func_cast_adv_index     	8         	6.174/0.77175/0.451/1.886
fused_cast_like_add_where_1   	10        	5.861/0.5861/0.408/1.235
fused_adv_index_split_squeeze_adv_index	1         	5.796/5.796/5.796/5.796
fused_reshape_adv_index       	1         	5.665/5.665/5.665/5.665
fused_min_8                   	2         	5.525/2.7625/0.938/4.587
fused_take_take_subtract_take_take_subtract_multiply_concatenate_sqrt_divide_log_3641292538708681564_	2         	5.461/2.7305/2.114/3.347
fused_dyn_strided_slice_3     	2         	5.411/2.7055/2.666/2.745
fused_adv_index               	1         	5.242/5.242/5.242/5.242
fused_cast_42                 	2         	5.061/2.5305/2.386/2.675
fused_full_like_concatenate_concatenate_concatenate	2         	4.6/2.3/1.7/2.9
fused_full_full_full_full_full_concatenate_reshape_cast_broadcast_to_like_adv_in_8196792179794000237_	1         	4.376/4.376/4.376/4.376
fused_cast_like_add_where_2   	6         	4.346/0.724333/0.55/0.89
fused_take_expand_dims_cast_concatenate	2         	4.241/2.1205/1.839/2.402
shape_func_nn_contrib_conv2d_NCHWc_add_nn_relu	4         	4.074/1.0185/0.837/1.291
fused_shape_of_2              	8         	4.072/0.509/0.161/1.235
fused_multiply_48             	10        	4.059/0.4059/0.334/0.474
shape_func_dyn_strided_slice_2	8         	4.035/0.504375/0.359/0.818
fused_prod_4                  	7         	3.786/0.540857/0.305/0.896
fused_reshape_adv_index_adv_index	1         	3.612/3.612/3.612/3.612
fused_arange_9                	1         	3.592/3.592/3.592/3.592
fused_expand_dims_25          	2         	3.541/1.7705/0.878/2.663
fused_concatenate_7           	1         	3.484/3.484/3.484/3.484
fused_multiply_47             	15        	3.477/0.2318/0.124/0.688
fused_cast_41                 	6         	3.284/0.547333/0.257/1.288
fused_cast_43                 	5         	3.274/0.6548/0.202/1.832
shape_func_scatter_1          	4         	3.194/0.7985/0.376/1.46
fused_shape_of_4              	5         	3.141/0.6282/0.391/1.379
fused_argwhere                	1         	3.124/3.124/3.124/3.124
fused_arange_7                	1         	3.11/3.11/3.11/3.11
shape_func_scatter            	4         	3.038/0.7595/0.486/1.098
shape_func_reshape_repeat_repeat_repeat	4         	3.024/0.756/0.485/1.522
fused_take_cast_expand_dims_take_cast_expand_dims_take_cast_expand_dims_concaten_10869151023261452404_	1         	3.023/3.023/3.023/3.023
fused_adv_index_1             	2         	2.976/1.488/1.137/1.839
fused_squeeze_8               	2         	2.899/1.4495/1.314/1.585
shape_func_dyn_strided_slice_6	5         	2.898/0.5796/0.438/0.783
fused_strided_slice_take_take_subtract_greater_equal_cast_take_take_subtract_gre_10448244218429255428_	1         	2.865/2.865/2.865/2.865
fused_adv_index_3             	1         	2.79/2.79/2.79/2.79
fused_cast_add_multiply       	1         	2.765/2.765/2.765/2.765
fused_concatenate_8           	1         	2.718/2.718/2.718/2.718
fused_adv_index_2             	1         	2.639/2.639/2.639/2.639
