==245118== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version
File test_street_small.jpg exists, skip.
==245118== Profiling application: python maskrcnn_test.py
==245118== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
29.9497s  635.49us            (400 1 1)       (160 1 1)       168  13.500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_1_kernel0 [435]
29.9504s  21.824us                    -               -         -         -         -  256.00KB  11.187GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9504s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9505s  373.66us            (250 1 1)        (80 1 1)       128  4.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_6_kernel0 [448]
29.9509s  46.560us                    -               -         -         -         -  576.00KB  11.798GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9509s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9509s  779.32us            (250 1 1)        (64 1 1)       128  9.7500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_7_kernel0 [461]
29.9517s  22.143us                    -               -         -         -         -  256.00KB  11.026GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9518s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9518s  641.69us            (400 1 1)       (160 1 1)       168  13.500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_1_kernel0 [474]
29.9525s  41.759us                    -               -         -         -         -  512.00KB  11.693GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9525s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
