#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_reshape_adv_index       	1         	32.148/32.148/32.148/32.148
fused_dyn_strided_slice_8     	1         	32.046/32.046/32.046/32.046
fused_split_squeeze_cast      	3         	31.979/10.6597/8.355/14.137
fused_reshape_transpose_reshape_reshape_transpose_reshape_reshape_transpose_resh_5612394393934892536_	1         	31.693/31.693/31.693/31.693
fused_adv_index_1             	3         	31.587/10.529/7.147/15.342
fused_nn_softmax              	1         	29.933/29.933/29.933/29.933
fused_full_like_concatenate_concatenate_concatenate	2         	28.836/14.418/10.688/18.148
fused_take_add_cast_expand_dims	1         	26.569/26.569/26.569/26.569
fused_min_7                   	2         	26.471/13.2355/10.946/15.525
fused_reshape_transpose_reshape_reshape_transpose_reshape_reshape_transpose_resh_763165556527453816_	1         	25.872/25.872/25.872/25.872
fused_expand_dims_25          	2         	25.07/12.535/10.487/14.583
fused_dyn_strided_slice_4     	1         	24.903/24.903/24.903/24.903
fused_take_take_subtract_take_take_subtract_multiply_concatenate_sqrt_divide_log_3641292538708681564_	2         	24.688/12.344/9.207/15.481
fused_vision_roi_align_6      	1         	24.133/24.133/24.133/24.133
fused_dyn_strided_slice       	2         	24.007/12.0035/8.571/15.436
fused_take_expand_dims_cast_concatenate	2         	22.179/11.0895/7.961/14.218
fused_shape_of_1              	2         	22.129/11.0645/8.188/13.941
fused_squeeze_8               	2         	21.685/10.8425/8.674/13.011
fused_sigmoid_concatenate_adv_index	1         	21.546/21.546/21.546/21.546
fused_shape_of_9              	1         	21.532/21.532/21.532/21.532
fused_dyn_strided_slice_3     	1         	21.357/21.357/21.357/21.357
fused_subtract_add            	2         	21.027/10.5135/7.669/13.358
fused_cast_38                 	2         	20.866/10.433/7.607/13.259
fused_ndarray_size_equal      	2         	20.416/10.208/7.431/12.985
fused_reshape_adv_index_adv_index	1         	19.81/19.81/19.81/19.81
fused_shape_of_3              	2         	19.753/9.8765/7.819/11.934
fused_squeeze_6               	2         	19.591/9.7955/7.671/11.92
fused_prod_1                  	49        	19.426/0.396449/0.156/1.468
fused_take_take_add_multiply_take_take_subtract_multiply_take_add_cast_cast_cast_16305282092913549647_	1         	19.306/19.306/19.306/19.306
fused_dyn_strided_slice_5     	1         	19.03/19.03/19.03/19.03
fused_full_full_full_full_full_concatenate_reshape_cast_broadcast_to_like_adv_in_16747569123192521575_	1         	18.943/18.943/18.943/18.943
fused_concatenate_8           	1         	18.935/18.935/18.935/18.935
fused_take_take_subtract_1    	1         	18.62/18.62/18.62/18.62
shape_func_dyn_strided_slice_1	28        	18.332/0.654714/0.431/1.386
fused_nn_max_pool2d_1         	1         	17.451/17.451/17.451/17.451
fused_add_add_add_add_add_concatenate	1         	17.334/17.334/17.334/17.334
